section,condition,metric,value,class,unit
substrate_sensitivity,sd0.025_n5,effect0.15,0.9999999999999996,synthetic,probability
substrate_sensitivity,sd0.025_n7,effect0.05,0.9832245476263256,synthetic,probability
substrate_sensitivity,sd0.025_n7,effect0.10,0.9999999997072978,synthetic,probability
substrate_sensitivity,sd0.025_n7,effect0.15,1.0,synthetic,probability
substrate_sensitivity,sd0.025_n9,effect0.05,0.997701591347189,synthetic,probability
substrate_sensitivity,sd0.025_n9,effect0.10,0.9999999999999848,synthetic,probability
substrate_sensitivity,sd0.025_n9,effect0.15,1.0,synthetic,probability
substrate_sensitivity,sd0.025_n12,effect0.05,0.9999252184659774,synthetic,probability
substrate_sensitivity,sd0.025_n12,effect0.10,1.0,synthetic,probability
substrate_sensitivity,sd0.025_n12,effect0.15,1.0,synthetic,probability
substrate_sensitivity,sd0.050_n5,effect0.05,0.5320613159717346,synthetic,probability
substrate_sensitivity,sd0.050_n5,effect0.10,0.9830268897331763,synthetic,probability
substrate_sensitivity,sd0.050_n5,effect0.15,0.9999841603963664,synthetic,probability
substrate_sensitivity,sd0.050_n7,effect0.05,0.7078023725525344,synthetic,probability
substrate_sensitivity,sd0.050_n7,effect0.10,0.9979370068088089,synthetic,probability
substrate_sensitivity,sd0.050_n7,effect0.15,0.9999999613523408,synthetic,probability
substrate_sensitivity,sd0.050_n9,effect0.05,0.8324569443169424,synthetic,probability
substrate_sensitivity,sd0.050_n9,effect0.10,0.9997800185867538,synthetic,probability
substrate_sensitivity,sd0.050_n9,effect0.15,0.9999999999554154,synthetic,probability
substrate_sensitivity,sd0.050_n12,effect0.05,0.938399229068634,synthetic,probability
substrate_sensitivity,sd0.050_n12,effect0.10,0.9999935499391308,synthetic,probability
substrate_sensitivity,sd0.050_n12,effect0.15,1.0,synthetic,probability
substrate_sensitivity,sd0.075_n5,effect0.05,0.29781768877081505,synthetic,probability
substrate_sensitivity,sd0.075_n5,effect0.10,0.8150234708130095,synthetic,probability
substrate_sensitivity,sd0.075_n5,effect0.15,0.9899592021435789,synthetic,probability
substrate_sensitivity,sd0.075_n7,effect0.05,0.3981827976591332,synthetic,probability
substrate_sensitivity,sd0.075_n7,effect0.10,0.9221852824049765,synthetic,probability
substrate_sensitivity,sd0.075_n7,effect0.15,0.9987307570249317,synthetic,probability
substrate_sensitivity,sd0.075_n9,effect0.05,0.4923115219219556,synthetic,probability
substrate_sensitivity,sd0.075_n9,effect0.10,0.9694296947797421,synthetic,probability
substrate_sensitivity,sd0.075_n9,effect0.15,0.9998657374467579,synthetic,probability
substrate_sensitivity,sd0.075_n12,effect0.05,0.6187165192601383,synthetic,probability
substrate_sensitivity,sd0.075_n12,effect0.10,0.9931561312011467,synthetic,probability
substrate_sensitivity,sd0.075_n12,effect0.15,0.9999963644479352,synthetic,probability
substrate_sensitivity,sd0.100_n5,effect0.05,0.19356080730609504,synthetic,probability
substrate_sensitivity,sd0.100_n5,effect0.10,0.5878363501273156,synthetic,probability
substrate_sensitivity,sd0.100_n5,effect0.15,0.9053900348880517,synthetic,probability
substrate_sensitivity,sd0.100_n7,effect0.05,0.24818900722791548,synthetic,probability
substrate_sensitivity,sd0.100_n7,effect0.10,0.7329296304419686,synthetic,probability
substrate_sensitivity,sd0.100_n7,effect0.15,0.9705686972200378,synthetic,probability
substrate_sensitivity,sd0.100_n9,effect0.05,0.3011413568243004,synthetic,probability
substrate_sensitivity,sd0.100_n9,effect0.10,0.8333174239392201,synthetic,probability
substrate_sensitivity,sd0.100_n9,effect0.15,0.9928543347963825,synthetic,probability
substrate_sensitivity,sd0.100_n12,effect0.05,0.37683957401769175,synthetic,probability
substrate_sensitivity,sd0.100_n12,effect0.10,0.9222282570885532,synthetic,probability
substrate_sensitivity,sd0.100_n12,effect0.15,0.9992241719021677,synthetic,probability
